method,k,n_samples,cluster_sizes,full_feature_silhouette,method_space_silhouette,calinski_harabasz_full,davies_bouldin_full,stability_nmi,stability_ari,consensus_stability,cluster_balance,os_logrank_p,pfi_logrank_p,dss_logrank_p,dfi_logrank_p,clinical_score_os_pfi,notes,n_boundary_samples_from_latent,boundary_samples_from_latent,beats_baseline_core,core_gain_score,mask_key
innovation_v3_candidate,2,364,153;211,0.05280736877755458,0.13753903233558748,23.195796888709598,3.778329155398816,0.8455609288414134,0.9029819406203052,0.8742714347308593,0.7251184834123223,0.0008105269894343995,0.015869225305837786,0.0011189608198512036,0.2526178655660075,2.4453383965081716,candidate_boundary_refinement,2,TCGA-BR-8682-01;TCGA-D7-5578-01,False,0.5966161825820313,101000
innovation_v3_candidate,2,364,154;210,0.05314231180630846,0.1377778613690973,23.18955699031789,3.7843305439522585,0.8527898255730114,0.906548478956393,0.8796691522647022,0.7333333333333333,0.001125655912119236,0.013030208819610499,0.0010326369379479602,0.2474150389768047,2.4168214838189743,candidate_boundary_refinement,5,TCGA-BR-8682-01;TCGA-CG-4441-01;TCGA-D7-5578-01;TCGA-HU-8249-01;TCGA-HU-A4H6-01,False,0.5956880073791704,111011
innovation_v3_candidate,2,364,152;212,0.05285573750833462,0.13788131866556344,23.185483545459316,3.7758645001368714,0.8656290641294918,0.9165016671275027,0.8910653656284973,0.7169811320754716,0.000844665169456879,0.01770832043204073,0.0011545016390404376,0.26302916325543896,2.4125690210216795,candidate_boundary_refinement,5,TCGA-BR-8682-01;TCGA-D7-5578-01;TCGA-D7-6822-01;TCGA-HU-8249-01;TCGA-HU-A4H6-01,True,0.5949869313373952,101111
innovation_v3_candidate,2,364,152;212,0.05290740437806388,0.13770170035352947,23.18841998649721,3.7757082193224067,0.8546225173971406,0.9102872170192581,0.8824548672081993,0.7169811320754716,0.0008491377826023061,0.01788085764893774,0.0011619372936643372,0.2474150389768047,2.4093167444532875,candidate_boundary_refinement,3,TCGA-BR-8682-01;TCGA-HU-8249-01;TCGA-HU-A4H6-01,False,0.5928685195224952,100011
innovation_v3_candidate,2,364,154;210,0.05288909772639162,0.13753874518955506,23.201641973509666,3.7817832871407284,0.8498352988768276,0.9044339940842498,0.8771346464805387,0.7333333333333333,0.0012488639963587204,0.013348735196279493,0.0011189608198512036,0.2526178655660075,2.3890223683249205,candidate_boundary_refinement,3,TCGA-BR-8682-01;TCGA-CG-4441-01;TCGA-D7-5578-01,False,0.5918638855634422,111000
innovation_v3_candidate,2,364,154;210,0.05332293560336294,0.13789036502591664,23.20232181729883,3.7838566243256486,0.8491794061115632,0.9038905296276195,0.8765349678695913,0.7333333333333333,0.0012488639963587204,0.013348735196279493,0.0011189608198512036,0.2526178655660075,2.3890223683249205,candidate_boundary_refinement,3,TCGA-CG-4441-01;TCGA-D7-5578-01;TCGA-HU-8249-01,False,0.5918625906786588,011010
innovation_v3_candidate,2,364,152;212,0.052565720913733543,0.13759178605970848,23.193949305826504,3.7735014360284533,0.862401572184343,0.9143648191922649,0.8883831956883039,0.7169811320754716,0.0009392990405418192,0.018125852874038666,0.0012502310802284696,0.26846128092824,2.3844488353687647,candidate_boundary_refinement,3,TCGA-BR-8682-01;TCGA-D7-5578-01;TCGA-D7-6822-01,False,0.5910828718032273,101100
innovation_v3_candidate,2,364,152;212,0.05303643244704778,0.13798700380419546,23.19395889881153,3.7757865117216,0.861567164306361,0.9138434987568256,0.8877053315315933,0.7169811320754716,0.0009392990405418192,0.018125852874038666,0.0012502310802284696,0.26846128092824,2.3844488353687647,candidate_boundary_refinement,3,TCGA-D7-5578-01;TCGA-D7-6822-01;TCGA-HU-8249-01,False,0.5910779433014436,001110
innovation_v3_candidate,2,364,153;211,0.052918601060345495,0.13784870731744903,23.190454923158917,3.779467496746945,0.8697251200385383,0.9179690625063687,0.8938470912724534,0.7251184834123223,0.0013003536709649162,0.014930957814239752,0.0011545016390404376,0.26302916325543896,2.3559254217704635,candidate_boundary_refinement,6,TCGA-BR-8682-01;TCGA-CG-4441-01;TCGA-D7-5578-01;TCGA-D7-6822-01;TCGA-HU-8249-01;TCGA-HU-A4H6-01,True,0.5901609518336579,111111
innovation_v3_candidate,2,364,152;212,0.05312402793966415,0.1378770517071801,23.210852507843946,3.774494652651151,0.8512911749746803,0.9076702876349722,0.8794807313048263,0.7169811320754716,0.0009442358378086948,0.01830195230029993,0.001258236991394751,0.2526178655660075,2.381211050559493,candidate_boundary_refinement,1,TCGA-HU-8249-01,False,0.589053903680245,000010
innovation_v3_candidate,2,364,152;212,0.05265174283863436,0.1374761209523053,23.212992917398147,3.7720550821620167,0.8519785133276877,0.9081820755919189,0.8800802944598033,0.7169811320754716,0.0009442358378086948,0.01830195230029993,0.001258236991394751,0.2526178655660075,2.381211050559493,candidate_boundary_refinement,1,TCGA-BR-8682-01,False,0.5890421203893932,100000
innovation_v3_candidate,2,364,153;211,0.05296787453603308,0.13766979461671414,23.192905324719646,3.779345864821551,0.8581701198973419,0.911720008530532,0.8849450642139369,0.7251184834123223,0.0013070395412055169,0.015079701283022714,0.0011619372936643372,0.2474150389768047,2.3526592675707416,candidate_boundary_refinement,4,TCGA-BR-8682-01;TCGA-CG-4441-01;TCGA-HU-8249-01;TCGA-HU-A4H6-01,False,0.5879823310766609,110011
innovation_v3_candidate,2,364,151;213,0.05268354124614577,0.1377833550307636,23.190548027789674,3.770450794768678,0.8730521525613891,0.9217313353364175,0.8973917439489033,0.7089201877934272,0.0009833416709516135,0.020382296479137803,0.0012975417818841509,0.26302916325543896,2.3490212209464993,candidate_boundary_refinement,4,TCGA-BR-8682-01;TCGA-D7-6822-01;TCGA-HU-8249-01;TCGA-HU-A4H6-01,False,0.5875878890395766,100111
innovation_v3_candidate,2,364,153;211,0.052640480208298215,0.13757225731062853,23.197307468365647,3.777290012127061,0.8664085693257977,0.9158258953630681,0.891117232344433,0.7251184834123223,0.0014411293792998391,0.015290260422487132,0.0012502310802284696,0.26846128092824,2.3284410728645293,candidate_boundary_refinement,4,TCGA-BR-8682-01;TCGA-CG-4441-01;TCGA-D7-5578-01;TCGA-D7-6822-01,False,0.5863252703384124,111100
innovation_v3_candidate,2,364,153;211,0.053088819201533514,0.1379352151945966,23.197478936713992,3.779484941044555,0.8654629142300877,0.9152824551975589,0.8903726847138234,0.7251184834123223,0.0014411293792998391,0.015290260422487132,0.0012502310802284696,0.26846128092824,2.3284410728645293,candidate_boundary_refinement,4,TCGA-CG-4441-01;TCGA-D7-5578-01;TCGA-D7-6822-01;TCGA-HU-8249-01,False,0.5862989091549636,011110
innovation_v3_candidate,2,364,153;211,0.05317392965829259,0.13782575815768944,23.21386117724859,3.7782289843324515,0.8547789304254987,0.9090746319878903,0.8819267812066944,0.7251184834123223,0.0014484822314957,0.015442153587513096,0.001258236991394751,0.2526178655660075,2.3251894801405406,candidate_boundary_refinement,2,TCGA-CG-4441-01;TCGA-HU-8249-01,False,0.5842286696569869,010010
innovation_v3_candidate,2,364,153;211,0.05272399432978289,0.13745704376271056,23.21583580007499,3.7758795993882543,0.8554494656772054,0.9096085431324177,0.8825290044048115,0.7251184834123223,0.0014484822314957,0.015442153587513096,0.001258236991394751,0.2526178655660075,2.3251894801405406,candidate_boundary_refinement,2,TCGA-BR-8682-01;TCGA-CG-4441-01,False,0.5842255046287518,110000
innovation_v3_candidate,2,364,151;213,0.05240280158130334,0.13752031866426295,23.209894058766494,3.7671670603656082,0.8700744549014455,0.9195974836532522,0.8948359692773489,0.7089201877934272,0.001092300606421774,0.020854612876383998,0.0014042063308961471,0.26846128092824,2.3212278463877274,candidate_boundary_refinement,2,TCGA-BR-8682-01;TCGA-D7-6822-01,False,0.5837524303023907,100100
innovation_v3_candidate,2,364,151;213,0.05288981051472558,0.13793276495991919,23.207238136700354,3.769728727868173,0.8690579476688546,0.9190857379116865,0.8940718427902705,0.7089201877934272,0.001092300606421774,0.020854612876383998,0.0014042063308961471,0.26846128092824,2.3212278463877274,candidate_boundary_refinement,2,TCGA-D7-6822-01;TCGA-HU-8249-01,False,0.5837352689157145,000110
innovation_v3_candidate,2,364,152;212,0.05273690862454691,0.13773202593591552,23.19253297794477,3.7744239615568707,0.8763161418675207,0.9231730896911059,0.8997446157793133,0.7169811320754716,0.0015071980064326996,0.017237681288283322,0.0012975417818841509,0.26302916325543896,2.2926754211592395,candidate_boundary_refinement,5,TCGA-BR-8682-01;TCGA-CG-4441-01;TCGA-D7-6822-01;TCGA-HU-8249-01;TCGA-HU-A4H6-01,False,0.5826952811133836,110111
innovation_v3_candidate,2,364,152;212,0.05313099061523804,0.13784336517480247,23.18363278017285,3.777177104281576,0.8448459832467147,0.9032684877214009,0.8740572354840578,0.7169811320754716,0.0010847666381392648,0.02046687209468552,0.0014301806126625343,0.28133077900487136,2.326806102221721,candidate_boundary_refinement,3,TCGA-D7-5578-01;TCGA-HU-8249-01;TCGA-HU-A4H6-01,False,0.5816183584569101,001011
innovation_v3_candidate,2,364,152;212,0.05264949401453958,0.13742579486433334,23.180125408047715,3.7751741496403897,0.8452225526673094,0.9037612222580512,0.8744918874626804,0.7169811320754716,0.0010847666381392648,0.02046687209468552,0.0014301806126625343,0.28133077900487136,2.326806102221721,candidate_boundary_refinement,3,TCGA-BR-8682-01;TCGA-D7-5578-01;TCGA-HU-A4H6-01,False,0.5815697895530572,101001
innovation_v3_candidate,2,364,152;212,0.05246810311793024,0.13748197587864472,23.21024158976412,3.771326609037786,0.8732371579024528,0.9210329239878696,0.8971350409451613,0.7169811320754716,0.0016685084160298386,0.01764546776432805,0.0014042063308961471,0.26846128092824,2.265519211413426,candidate_boundary_refinement,3,TCGA-BR-8682-01;TCGA-CG-4441-01;TCGA-D7-6822-01,False,0.5789271257871318,110100
innovation_v3_candidate,2,364,152;212,0.05293258764842826,0.13786206252705369,23.207752888333,3.7737979767180763,0.8722634331224565,0.920499046307259,0.8963812397148577,0.7169811320754716,0.0016685084160298386,0.01764546776432805,0.0014042063308961471,0.26846128092824,2.265519211413426,candidate_boundary_refinement,3,TCGA-CG-4441-01;TCGA-D7-6822-01;TCGA-HU-8249-01,False,0.578903895196728,010110
innovation_v3_candidate,2,364,152;212,0.0528540088312926,0.13758658024689066,23.199869401806946,3.7741855500280588,0.8417578020720717,0.9011444842179906,0.8714511431450311,0.7169811320754716,0.0012032274702450736,0.020938278812617606,0.0015459020851342974,0.2869936600918702,2.2993556414760796,candidate_boundary_refinement,1,TCGA-D7-5578-01,False,0.5778143192601077,001000
innovation_v3_candidate,2,364,153;211,0.053185427929593486,0.13779704928612554,23.189972792189153,3.7806250961411374,0.8483859594852715,0.9046700117678793,0.8765279856265754,0.7251184834123223,0.0016567322708407038,0.017309367781102394,0.0014301806126625343,0.28133077900487136,2.271233231258041,candidate_boundary_refinement,4,TCGA-CG-4441-01;TCGA-D7-5578-01;TCGA-HU-8249-01;TCGA-HU-A4H6-01,False,0.5768518353193941,011011
innovation_v3_candidate,2,364,153;211,0.052726247646034806,0.13741183413520155,23.18630983130815,3.7787121027881043,0.8490314443506658,0.905184875155399,0.8771081597530324,0.7251184834123223,0.0016567322708407038,0.017309367781102394,0.0014301806126625343,0.28133077900487136,2.271233231258041,candidate_boundary_refinement,4,TCGA-BR-8682-01;TCGA-CG-4441-01;TCGA-D7-5578-01;TCGA-HU-A4H6-01,False,0.5768404711781867,111001
innovation_v3_candidate,2,364,151;213,0.05291640562484222,0.13793679620351487,23.18687237866494,3.7718711895777175,0.8621866042808508,0.9146647069211488,0.8884256556009997,0.7089201877934272,0.0012530989862977705,0.02328017498443131,0.001594493919555931,0.2983825398158505,2.2675141904972183,candidate_boundary_refinement,4,TCGA-D7-5578-01;TCGA-D7-6822-01;TCGA-HU-8249-01;TCGA-HU-A4H6-01,False,0.5763442578823563,001111
innovation_v3_candidate,2,364,151;213,0.052420095438238494,0.1375075746976987,23.183869719591137,3.7697465940881343,0.862870990538736,0.9151573944924486,0.8890141925155923,0.7089201877934272,0.0012530989862977705,0.02328017498443131,0.001594493919555931,0.2983825398158505,2.2675141904972183,candidate_boundary_refinement,4,TCGA-BR-8682-01;TCGA-D7-5578-01;TCGA-D7-6822-01;TCGA-HU-A4H6-01,False,0.5763224646246039,101101
innovation_v3_candidate,2,364,151;213,0.05298310622122778,0.1377831415361229,23.19469306124362,3.7713189313054634,0.8513621548793927,0.9084881687551248,0.8799251618172588,0.7089201877934272,0.0012595360665299694,0.023498953336718736,0.0016044951334446712,0.28133077900487136,2.264370436602588,candidate_boundary_refinement,2,TCGA-HU-8249-01;TCGA-HU-A4H6-01,False,0.5742665482798881,000011
innovation_v3_candidate,2,364,151;213,0.05248527792077523,0.1373483293250167,23.193844147119687,3.7690390042009527,0.8519032167815994,0.9089713205725721,0.8804372686770858,0.7089201877934272,0.0012595360665299694,0.023498953336718736,0.0016044951334446712,0.28133077900487136,2.264370436602588,candidate_boundary_refinement,2,TCGA-BR-8682-01;TCGA-HU-A4H6-01,False,0.5742284434142262,100001
innovation_v3_candidate,2,364,153;211,0.052920194462739045,0.1375533042846132,23.20458225087678,3.777820042345006,0.8452299966972724,0.9025396917646618,0.873884844230967,0.7251184834123223,0.0018315032810648046,0.017716335034637442,0.0015459020851342974,0.2869936600918702,2.2444092071595465,candidate_boundary_refinement,2,TCGA-CG-4441-01;TCGA-D7-5578-01,False,0.5731171759072062,011000
innovation_v3_candidate,2,364,151;213,0.05261421012878125,0.13764243622472497,23.19786661906927,3.769249897518382,0.8587434315011419,0.9125119946584411,0.8856277130797915,0.7089201877934272,0.0013884754750549519,0.023807716189218606,0.0017224552569804577,0.3042790056154726,2.2403720250968373,candidate_boundary_refinement,2,TCGA-D7-5578-01;TCGA-D7-6822-01,False,0.5725285217383367,001100
innovation_v3_candidate,2,364,152;212,0.05248984210085019,0.13747422003534193,23.1875544563769,3.773620246645391,0.8663946241667021,0.9165900378331016,0.8914923309999019,0.7169811320754716,0.001905688737324213,0.019743863436310728,0.001594493919555931,0.2983825398158505,2.2122579471310355,candidate_boundary_refinement,5,TCGA-BR-8682-01;TCGA-CG-4441-01;TCGA-D7-5578-01;TCGA-D7-6822-01;TCGA-HU-A4H6-01,False,0.5715871620510058,111101
innovation_v3_candidate,2,364,152;212,0.05296367574557984,0.13787095937526664,23.190713672161532,3.775654715448153,0.8654585218716473,0.9160752126399785,0.8907668672558129,0.7169811320754716,0.001905688737324213,0.019743863436310728,0.001594493919555931,0.2983825398158505,2.2122579471310355,candidate_boundary_refinement,5,TCGA-CG-4441-01;TCGA-D7-5578-01;TCGA-D7-6822-01;TCGA-HU-8249-01;TCGA-HU-A4H6-01,False,0.5715734261929342,011111
